Aiguilettes de volaille à la normande et tagliatelles;155;6.7;13.7;8.2;100 g
Aiguillades de jambon au poivre madrange : par tranche de 20g;24;4.2;0.2;0.8;100 g
Aiguillette de poulet sauce moutarde de marie;490;30;37.7;18;1 portion
Aiguillettes de canard;99;22;0.5;1;100 g
Aiguillettes de poulet (carrefour);112;24;0;1.8;100 g
Aiguillettes de poulet au citron picard;125;25.6;2.5;1.5;100 g
Aiguillettes de poulet et legumes de fleury michon;253;23.8;7.6;22.4;1 part
Aiguillettes de poulet le Gaulois;102;22;0.2;1;100 g
Aiguillettes de poulet picard;135;27.2;0.9;2.5;100 g
Aiguillettes de volaille aux champignons et riz;94;8.2;10.8;1.7;100 g
Aïki noodles chiken;117;2.5;16.1;4.8;100 g
Ail en poudre (1 tasse);450;24;104;1;1 portion
Ail frais;92.6;7.1;14.9;0.5;100 g
Aile de poulet à griller enfarinées et frites;321;26.11;2.39;22.16;100 g
Ailladou ail et fines herbes (fromage);261;5.5;3.5;25;100 g
Aioli;228;0.1;0.1;24.6;1 portion
Airelles;25;0.2;5;0;100 g
Albona : farine "crêpe express";335;10.3;68;2.4;100 g
Aligot picard;362;13.2;25.4;20;1 portion
All Bran Crunch;405;8;62;11;100 g
All bran fibres plus;280;14;48;3.5;100 g
All bran mini breaks (une unité de 24g);92;1;13;4.5;1 unité
All-bran;334;14;48;3.5;100 g
All-bran figue et pomme;327;9;67;2.5;100 g
Allumettes allégées fumées tradilège marque repère;201;17.7;0.7;14;100 g
Allumettes de canard carrefour;110;18;1.6;3.5;100 g
Allumettes de jambon 4% de mg;118;18;2.5;4;100 g
Allumettes de volaille 2x75g fleury michon;118;19;1.5;4;100 g
Allumettes lardons fumés u;250;18.2;0.7;20.5;100 g
All'bran fique & pomme kellogg's;318;9;66;2;100 g
Aloyau de boeuf;266;17;0;22;100 g
Alpen;353;10.7;64.3;5.9;100 g
Alpro (boisson goût chocolat);76;3;9;2;100 ml
Alpro (crême fraîche);168;2;1;17;100 ml
Alpro (lait nature);47;3;3;2;100 ml
Alpro (pudding goût chocolat);81;3;13;1;100 g
Alpro (yougourt nature);59;4;3;2;100 g
Alpro soja cuire et rotir;680;0.1;0.3;75;100 g
Alpro soja light (drink nature);29;2.1;2;1.2;100 ml
Alpro soja yahourt;79;3.7;10.2;2;100 g
Alpro soya light choco;47;2.3;6;1.2;100 ml
Amandes;578;19;4;54;100 g
Amandes (une unité);10;0.3;0.3;0.9;1 unité
Amandes bio (moulues) coop;589;22;5;54;100 g
Amandes blanchies et sechées (12/100 tasse);106.8;4.04;3.67;9.31;1 portion
Amandes blanchies et sechées (34/100 tasse);302.6;11.43;10.39;26.37;1 portion
Amandes blanchies et sechées (38/100 tasse);338.2;12.78;11.61;29.47;1 portion
Amandes blanchies et sechées (40/100 tasse);356;13.45;12.22;31.02;1 portion
Amandes blanchies et sechées (8/100 tasse);71.2;2.69;2.44;6.2;1 portion
Amandes blanchies et sechées (la tasse entière);890;33.63;30.55;77.55;1 portion
Amandes de californie sèches;576;21;4.5;53.5;100 g
Amandes decortiquees carrefour;608;24;5.6;53;100 g
Amandes grillées à sec non salées;639;26;10;52;100 g
Amandes nature Naturalia;578;21.7;12.3;46.9;100 g
Amandes rôties dans l'huile blanchies;613;19.04;18.02;56.53;100 g
Amandina choko (perl'amande);77;1.4;10.5;3.3;100 g
Amandine aux poires la laitière;172;4.9;18.9;8.6;100 g
Amaretti leader price (macarons aux amandes);436;11.1;40.1;26.8;100 g
American bun's bolognaise-mc cain;261;11.9;30.5;10.2;100 g
American burger harry's;286;10.6;50;4.8;100 g
American sandwich harrys 7 céréales;279;10;40.4;7.2;100 g
Americano;128;0;11.2;0;1 part
Amidon de mais cireux;176;0;44;0;1 portion
Amora sauce ceasar;330;2.5;5;32;100 ml
Anabolic evolution (weider);379;38;51;2.5;100 g
Ananas (compote);88;0;17;0;100 g
Ananas au sirop st mamet;66;0.4;15.3;0.1;100 g
Ananas cru (1 tranche mince);27;0.3;7.07;0.07;1 tranche
Ananas cru (variété extra sucrée);51;0.53;13.5;0.11;100 g
Ananas en conserve dans du jus (égoutté);60;0.51;15.56;0.11;100 g
Ananas en conserve dans du jus, égoutté;60;0.51;15.56;0.11;100 g
Ananas en conserve dans du sirop extra épais (solides et liquide);83;0.34;21.5;0.11;100 g
Ananas en conserve, dans de l'eau;15;0.2;3.9;0.04;1 tranche
Ananas en morceaux picard;59;0.4;14;0.2;100 g
Ananas en tranche carrefour;53;0.4;12.2;0.1;100 g
Ananas morceaux (golden);57;0;13.5;0;100 g
Ancel biscuits apéritifs sticks et bretzels;376;14.1;74.1;2.6;100 g
Anchois (à l'huile);302;20;0;24;100 g
Anchois frais;240;30;0;13.5;1 portion
Andouille;300;18;1;25;100 g
Andouille de troyes;384;28.5;0.1;30;1 unité
Andouillette;235.2;18;0.3;18;100 g
Andros compote pomme abricot;77;0.6;17;0.3;100 g
Andros confiture allégée cerises;183;0.4;45;0.1;100 g
Andros pocket;75;0.5;17;0.5;100 g
Aneth déshydraté (1 tasse);150;10;28.5;2;1 portion
Aneth en graines (1 tasse);350;17;59;15.5;1 portion
Aneth frais, en branches (1 tasse);5;0.33;0.65;0.1;1 portion
Aneth séchée;342.8;20;55.8;4.4;100 g
Anguille (de mer fumée);207;18;0;15;100 g
Anguille fraiche;230;24;0;15;100 g
Anis en graines (1/5 tasse);70;3.8;10.7;3.4;1 portion
Anisette;320;0;40;0;100 ml
Anone;94;1.3;21.6;0.4;100 g
Apéricube la vache qui rit;16;0.9;0.1;1.2;1 unité
Apérimis (bouchées apéritives au surimi) fleury michon;182;8.5;8.7;12.8;100 g
Apéritif à la gentiane;150;0;6.4;0;100 ml
Aperitif apérifruit raisin ananas papayes banane noix de coco (lorenz);400;2;74;11;100 g
Appenzell;409;29;0;33;100 g
Aptonia amino acid chains liquid;190;27;18;0;100 ml
Aptonia barre protein 29 fruits rouges/ choco blanc;390;29;37;15;100 g
Aptonia barre protein29 choco/praliné;190;14.6;17;6.7;1 unité
Aptonia cereal bars, abricot;381;5.6;74.3;6.3;100 g
Aptonia cw protéine;360;82;3;1.5;100 g
Aptonia gainer choco;370;22;65;2;100 g
Aptonia hydra récupération fruits exotiques;382;26;69;0.2;100 g
Aptonia mass gainer vanille;394;21;72.5;2;100 g
Aptonia mk protéine vanille;370;72;15;2;100 g
Aptonia protein90 fraise;373;88.4;2.5;1.1;100 g
Aptonia protein90 vanille;371;87.4;3;1;100 g
Aptonia vegetal 36;350;36;35;9.5;100 g
Aptonia weight gain chocolat;363;20;63;3.5;100 g
Aptonia weight gain vanille;383;20;70;2.6;100 g
Aquinoa;300;13;69.3;6.5;100 g
Arachides jumbo (cacahuètes grillées);567;25;8.3;48;100 g
Araignée (boeuf);200;20;0;10;100 g
Arancia rossa fruitissima (jus de pamplemousse rose);45;0.2;10.5;0;100 g
Armagnac;250;0;0;0;100 ml
Arôme saveur maggi;68;10.6;6.4;0;100 g
Artichaud;36;2;7;0;100 g
Artichaut bouilli et égoutté;60;4.18;13.42;0.19;1 unité
Asperge cuite;19;2.7;1.5;0.3;100 g
Asperges (pointes) auchan;24;1.4;4.3;0.1;100 g
Asperges blanches en bocal king's crown;19;1.4;2.7;0.1;100 g
Asperges en boîte ;12;0.75;1.8;0.22;100 g
Asperges vertes miniatures;13;1.74;1.7;0.13;100 g
Asperges vertes picard;23;1.8;3.5;0.2;100 g
Assaisonement pour burrito;311;10;61;4;100 g
Assaisonnement pour tarte à la citrouille;342;5.76;69.28;12.6;100 g
Assaisonnement pour tarte à la citrouille (1/5 tasse);60;1;12;2.2;1 portion
Assortiment asiatique;223;6.8;23;11;100 g
Assortiment gateaux discount carrefour;513;6.2;59;28;100 g
Assortiment salé tradition;515;9.5;58;27;100 g
Atkins peanut fudge granola bar;210;16;17;10;1 unité
Aubergine;17.8;1;3;0.2;100 g
Aubergine braisée (miki);109;1.5;6;7.5;100 g
Aubergine marinée;49;0.9;9.77;0.7;100 g
Aubergines frites à l'huile;302;0;2.8;32;100 g
Auchan croquettes (pomme de terre);180;2.7;23.2;8;100 g
Auchan matin vitalité;472;7;66;20;100 g
Auchan yaourt nature maigre 0%;40;4.4;5.2;0;100 g
Autruche (filet);103;21;0;1;100 g
Avocat;220;2;3.5;22;100 g
Avocat au crabe;190.4;4.2;1.5;18.6;100 g
Avocat de floride, cru (1 quartier de fruit);91;1.7;5.95;7.65;1 portion
Avoine (farine);350;12;65;5;100 g
Avoine (flocons) jardin bio;369;9.2;57;8.8;100 g
Avoine (son);246;17.3;66.2;7;100 g
Avoine en poudre nutrimuscle;352;13.5;58.7;7;100 g
Avoine quaker oats;356;11;60;8;100 g
Abatilles (eau minérale naturelle);0;0;0;0;100 ml
Abats en sauce;290;19;0;17;100 g
Abiyuch cru;69;1.5;17.6;0.1;100 g
Ablette;144;18;0;8;100 g
Abricot;44;1;10;0;100 g
Abricot (1 tasse moitiés);31;0.92;7.28;0.26;100 ml
Abricot (compote non sucrée);119;0;29;0;100 g
Abricot (portion raisonnable/semaine);50;1.47;11.68;0.41;1 portion
Abricot congelé et sucré;98;0.7;25.1;0.1;100 g
Abricot en entier pelé en conserve dans du sirop extra épais;96;0.55;24.85;0.04;100 g
Abricot jus;60;0;15;0;100 ml
Abricot sec;200;4;39;1;100 g
Abricot sec 1 unité;16;0.3;3.1;0;1 unité
Abricots doux secs bio coop naturaplan;301;3;68;0;100 g
Abricots moelleux (leader price);220;2.6;49;0.2;100 g
Abricots secs;246;2.5;58;0;100 g
Abricots secs 'kyrielle';285;5;63.5;0.5;100 g
Accras de morue claude léger;251;16;13;15;100 g
Ace fruit drink;52;0.3;12.3;0;100 ml
Achards de légumes;291;1.25;7.58;28.4;100 g
Acitivia au miel;94;3.5;14.2;3;100 g
Acm 20;371;78;8;3;100 g
Acras de morue de marque servifrais;206;10.9;19.7;9.3;100 g
Actifidus marque repère;60;4.5;4;3.5;100 g
Actilife wellness crisp blé complet;346;10;64;2;100 g
Actimel 0 % saveur fruits rouges;29;2.7;0.05;3.7;100 ml
Actimel 0% ananas de danone;28;2.8;3.3;0;100 g
Actimel 0% nature de danone;28;2.8;3.3;0;100 g
Actimel au gout orange;85;2.7;12.8;1.6;100 g
Actimel danone  nature;83;2.8;14.1;1.6;1 portion
Actimel danone-nature sucré;72;3;10.5;1.6;100 g
Actimel danone-saveur vanille;75;2.9;12.5;1.5;100 g
Actimel multifruits de danone;85;2.7;12.8;1.6;100 g
Actimel nature sucré;83;2.8;12.8;1.6;100 g
Actimel saveur fruits rouges 0%mg;29;2.7;3.7;0.05;100 g
Active drink protéine vanille;111.2;10.4;15.2;1;100 ml
Active power - power weight gain choco;377;26;65;1.5;100 g
Active power power carbo plex;400;0;100;0;100 g
Active power power protein 80 saveur vanille;382;80;6;4.2;100 g
Active pro saveur chocolat;352;80;3.6;2;100 g
Activia 0 % ananas;55;5;8;0;100 g
Activia 0% mangue;65;6;9.9;0.13;1 pot
Activia a la rhubarbe;93;3.5;12.6;3.2;100 g
Activia abricots;96;3.5;13.3;3.2;100 g
Activia au fromage blanc à la fraise;110;5.1;15.8;2.9;100 g
Activia au fromage blanc à la pêche;112;5.1;16.4;2.9;100 g
Activia au fromage blanc-fraise de danone;138;6.4;20;3.6;1 pot
Activia au muesli de danone;136;4.6;19.3;4.4;1 pot
Activia aux blé complet de danone;136;4.6;19.3;4.4;1 pot
Activia aux figues;100;3.5;14;3.2;100 g
Activia aux kiwis de danone;128;4.6;18.4;4;1 pot
Activia aux pruneaux de danone;129;4.6;18.5;4;100 g
Activia citron 0%;54;4.8;7.4;0.1;100 g
Activia datte de danone;138;4.4;21.1;4;1 pot
Activia Éclats de noix céréales;117;3.8;14.5;4.4;100 g
Activia fruits;96;3.5;16.3;3.2;100 g
Activia fruits des bois 0%;53;4.5;8.5;0.1;100 g
Activia gout vanille de danone;119;4.5;16.5;3.9;1 pot
Activia nature danone;62;3.4;4.4;3.4;100 g
Activia nature et brassé de danone;90;5.4;7.5;4.3;1 pot
Activia poire céréale;107;3.8;14.7;3.3;100 g
Activia saveur framboise;96;3.7;13.2;3.1;100 g
Adzuki;361;20;63;1;100 g
After eight;418.6;2.5;72.9;13;100 g
After eight mint;423;2;74;13;100 g
After eight par feuille;35;0.2;6.2;1;100 g
After max;360;40;40;4;100 g
Agave;308;0;76;0;100 g
Agneau américain, côte maigre grillée;235;27.74;0;12.95;100 g
Agneau cervelle;120;12;0;8;100 g
Agneau cotelette;204;15;0;16;100 g
Agneau foie;120;21;0;4;100 g
Agneau langue;270;19.6;0;21;1 portion
Agneau selle;234;18;0;18;100 g
Aiglefin;107;25.5;0;0.4;1 portion
Aiguilettes de canard le gaulois;99;22;0.5;1;100 g
Aiguillades de jambon au poivre madrange;124;21;1;4;100 g
Aiguillette de boeuf;200;20;0;10;100 g
Aiguillette de poulet tandoori picard;143;25.8;3;3.2;100 g
Aiguillettes de canard picard;128;23.6;3.6;0.3;100 g
Aiguillettes de poulet + equilibre;288;26.1;24.3;8.6;1 portion
Aiguillettes de poulet aux deux moutardes (cora );112;10.3;8.8;3.9;100 g
Aiguillettes de poulet grille fleury michon;132;22;2;4;100 g
Aiguillettes de poulet marinée thym-citron père dodu;118;22.3;1;3.3;100 g
Aiguillettes de Poulet sauce normande et Riz (côté Table Leclerc);129;9.4;17;2.5;100 g
Aiguillettes poulet moutarde et citron;288;26.1;24.3;8.6;1 part
Ail;137;6;28;0.1;100 g
Ail en poudre (1/5 tasse);90;4.8;20.8;0.2;1 portion
Ail la gousse ;4;0.2;0.8;0;1 unité
Aile de raie;91;20.7;0;1;100 g
Ain el peto à la graine de lin (par tranche);110;1;16;4;1 tranche
AÎoli huile olive;722;2.4;2.9;78;100 g
Airelles au naturel;16;0.1;2.9;0.3;100 g
Alcool calories;700;0;0;0;100 g
All bran chocolat ;349;10;66;5;100 g
All bran de kellogg's chocolat;349;10;66;5;100 g
All bran fruits et fibres kellogg's;358;8;68;6;100 g
All bran pétales;326;10;67;2;100 g
All-bran crunch chocolat;412;8;62;12;100 g
Allumette de bacon fumé auchan;112;18;1;4;100 g
Allumettes bacon fumé herta;108;19;0.9;3;100 g
Allumettes de jambon (leclerc);103;17.8;1.8;2.7;100 g
Allumettes de jambon fleury michon;114;17;2.5;4;100 g
Allumettes fumées (herta);200;18;0.6;14;100 g
All'bran fibre +;175;14;48;3;100 g
Alose;170;20;0;10;100 g
Aloyau de veau;175;19;0;11;100 g
Alpro (boisson goût banane);80;3;11;2;100 ml
Alpro (boisson goût vanille);70;4;8;2;100 ml
Alpro (cuire et rôtir);676;0;75;0;100 g
Alpro (lait sans sucre ni sel);35;3;0;2;100 ml
Alpro (pudding goût vanille);81;1;3;13;100 g
Alpro lait d'amande Almond;24;0.5;3;1.1;100 ml
Alpro soja drink au calcium;43;3.3;2.8;1.9;100 ml
Alpro soja light 15% ( margarine);146;0;0;15;100 g
Alpro soya chocolat (puur-fondant);92;3;14.6;2.2;100 g
Alpro soya minarine 0% cholesterol;361;0;0;40;100 g
Amandes (pamp snacks);641;21.2;21.7;49.4;100 g
Amandes bio (damiano);606;22.2;4.9;5.2;100 g
Amandes blanchies et sechées (10/100 tasse);89;3.36;3.06;7.76;1 portion
Amandes blanchies et sechées (32/100 tasse);284.8;10.76;9.78;24.82;1 portion
Amandes blanchies et sechées (36/100 tasse);320.4;12.11;11;27.92;1 portion
Amandes blanchies et sechées (4/100 tasse);35.6;1.35;1.22;3.1;1 portion
Amandes blanchies et sechées (6/100 tasse);53.4;2.02;1.83;4.65;1 portion
Amandes blanchies et sechées (la demi-tasse);445;16.81;15.28;38.78;1 portion
Amandes campobasso;576;19;4.8;53.5;100 g
Amandes décortiquées auchan;635;25.1;5.5;56.9;100 g
Amandes effilées auchan;641;21.4;5.3;57.4;100 g
Amandes grillées et salées (leader price);620;24.2;21.2;48.7;100 g
Amandes rôties au miel non blanchies;594;18.17;27.9;49.9;100 g
Amandina   vegetal;57;1.1;5.8;3.3;100 ml
Amandine;349;6.3;35.1;20.3;1 unité
Amarante;35;2.5;5;0.5;100 g
Ambiance benenuts;508;8.7;83.7;1.6;100 g
American bun's jambon ketchup-mc cain;255;11.8;25.9;11.6;100 g
American sandiwch 7 céréales harry's;259;10;43.3;5.1;100 g
American sandwich harry's complet;241;8;42.2;4.3;100 g
Amidon de maïs;340;0;85;0;100 g
Amix 100% prédator protein;380.6;65;17;5.9;100 g
Amora sauce crudités persil & ciboulette;70;0.4;2;7;1 portion
Ananas;50;0.5;12;0;100 g
Ananas au sirop en conserve;90;0.6;22.8;0.1;1 portion
Ananas calories;50;0.5;12;0;100 g
Ananas cru (1 tranche);43;0.49;11.42;0.11;1 tranche
Ananas cru (variétés traditionnelles);45;0.55;11.82;0.13;100 g
Ananas en conserve dans du jus (solides et liquide);60;0.42;15.7;0.08;100 g
Ananas en conserve dans du sirop épais (solides et liquide);78;0.35;20.2;0.11;100 g
Ananas en conserve dans du sirop léger (solides et liquide);52;0.36;13.45;0.12;100 g
Ananas en morceaux congelés et sucrés;86;0.4;22.2;0.1;100 g
Ananas en morceaux surgelés picard;59;0.4;14;0.2;100 g
Ananas frais;47;0.5;11.25;0;100 g
Ananas surgelé en morceaux (leader price);45;0.54;10.2;0.24;100 g
Anchois;160;21.7;0.3;8;100 g
Anchois à l'huile d'olive;210;28.89;0;9.71;100 g
Anchois- filets à l'huile equilibre - la monégasque;208;25;1;11;100 g
Andouille de guéméné;24;1.8;0;1.8;1 tranche
Andouille de vire;72;5.7;0;5.4;100 g
Andouillette (une unité);351;34.5;0;27;1 unité
Andros compote pomme avec morceaux;100;0.3;24;0.3;100 g
Andros delice de peche;77;0.6;18;0.1;100 g
Andwich subway 6" chicken tikka + légumes + fromage + pain italien sans sauce;369;27;44;11;100 g
Aneth déshydraté (1/5 tasse);30;2;5.7;0.4;1 portion
Aneth en graines (1/5 tasse);70;3.4;11.8;3.1;1 portion
Aneth frais, en branches (1/5 tasse);1;0.07;0.13;0.02;1 portion
Angue de boeuf piquante, purée de pomme de terre picard;127;7;7.6;7.6;100 g
Anguille (de rivière fumée);385;18;0;35;100 g
Anis en graines;337;17.6;50.02;15.9;100 g
Anis sirop à l'eau (une dose de 10g);33;0;8.2;0;1 unité
Anneaux de calmar picard;46;10;0.5;0.7;100 g
Apaulo;70;411;50;892;100 g
Apérifruits vico;410;1.5;75;11;100 g
Apériterrines : saint-jacques à l'huile d'olive tassos;220;7.3;6.1;18;100 g
Apéritif anisé sans alcool;0;0;0;0;100 ml
Apérivrais à la provençale ;324;9.2;2.7;30.7;100 g
Apple pie maison;130;1.95;25.14;1.98;100 g
Aptonia amino comprimés vanille;3.16;0.79;0;0;1 unité
Aptonia barre protein29 choco/coco;186;14.5;16.5;6.4;1 unité
Aptonia barre pruneaux-figue;335;30;26;12;100 g
Aptonia cereal bars, fruits rouge;388;5.2;74.3;6.8;100 g
Aptonia duopro praliné;370;35;35;12;100 g
Aptonia hydra energie;372;0.5;91;0.5;100 g
Aptonia mass gainer chocolat;370;22;65;22;100 g
Aptonia milk protein;370;72;15;5.5;100 g
Aptonia protein90 chocolat;366;85;3.1;1.5;100 g
Aptonia protein90 neutre;376;88.5;3.1;1;100 g
Aptonia pure whey protein vanille;375;84;8;0.5;100 g
Aptonia weight gain banane;371;20;72;0.3;100 g
Aptonia weight gain fraise;371;20;72;0.3;100 g
Aptonia whey protein;382;71;11;5.5;100 g
Arachide (pâte);610;27;13;50;100 g
Arachides seeberger à décortiquer (non grillées);567;25;8.3;48;100 g
Araignée de mer;95;16;1;3;100 g
Arbouse;105;0.7;20;0.5;100 g
Arôme naturel de vanille liquide;259;0.12;64.6;0;100 g
Arôme vanille artificiel [vahiné];256;0;64;0;100 g
Artichaud et herbes aromatiques a l'huile prêt a l'emploi pour salades et aperitifs (rustica);75;2;0;5.5;100 g
Artichaut coeurs en conserve;26;1.4;4;0.4;1 portion
Asperges;28.3;2.4;4;0.3;100 g
Asperges aux croutons soupe;46;0.85;5.2;2;100 g
Asperges blanches miniatures géant vert;19;1.3;1.4;0.7;100 g
Asperges tendres carrefour;16;1.7;1.6;0.3;100 g
Asperges vertes moyennes (U);30;2.1;3.1;0.4;100 g
Asperges vertes st eloi;108;2.3;2.7;0.7;100 g
Assaisonnement épices pour fajitas ;285;7.9;56;1.8;100 g
Assaisonnement pour tarte à la citrouille (1 tasse);300;5;60;11;1 portion
Assaisonnement pour volaille;307;9.59;65.59;7.53;100 g
Assortiment de champignons surgelés carrefour;27;1.3;5.2;1;100 g
Assortiment salé gourmand belin;536;10;52;32;100 g
Athérine;85;18;0;1.5;100 g
Atkins vanilla shake;47;15;2;14;100 ml
Aubergine bouillie et égouttée;35;0.83;8.73;0.23;100 g
Aubergine crue;29;1;6;0;100 g
Aubergines cuisinées Carrefour;106;1.1;7.6;7.3;100 g
Aubergines grillées;20;0;2.7;0;100 g
Auchan flocons d'avoine;340;11;56.2;7.9;100 g
Auchan tablette choco crac';522;8.6;28;59;100 g
Aumônieres au fromage de chêvre (casino delices;317;14;18;21;100 g
Autruche (steak);99;22;0;0;100 g
Avocat (une unité);361;4.7;2.1;36.9;1 unité
Avocat calories;220;2;3.5;22;100 g
Avocat nature;155;1.8;0.8;15;100 g
Avoine (flocons);367;14;67;5;100 g
Avoine (grains);334;13.5;53;7;100 g
Avoine en poudre myprotein;388;8.5;70.7;7.9;100 g
Avoine instantanée myprotein;388;8.5;70.7;7.9;100 g
Ba bifidus actif vanille 0%;39;4;5.4;0;100 g
Baba au rhum leader price (rayon frais) : par portion de 150 g;231;5.1;41.25;5.1;1 portion
Babybel;315;22.5;0;25;100 g
Babybel au cheddar : par unité de 20g;74;4.8;0;6.1;1 unité
Babybel mini 1 unité;68;5;0.8;5.8;1 unité
Bacon (filet);123;23;0;3;100 g
Bacon cheese charal;275;15.3;23.4;13.4;100 g
Bacon émincé fleury michon 75gr;81;16;0.8;1.5;1 portion
Bacon fumé;385;17;0;35;100 g
Bacon fumé leader price;123;22.5;1.5;3;100 g
Bacon saint azay (marque repere);120;22.5;0.7;2.9;100 g
Bacon salé cuit au four (1 tranche cuite);44;2.89;0.11;3.5;1 unité
Bagel à la cannelle et aux raisins secs grillé;71;2.54;14.23;0.43;1 unité
Bagel Cannelle & raisins - Tim Horton;270;10;55;1;1 unité
Bagel Érable et Canelle - Tim Horton;350;10;67;4;1 unité
Bagel mouelleux;250;10;47;3;100 g
Bagel nature (picard);224;9.4;44.7;0.8;100 g
Bagels précuit - coop;242;9;48;1;100 g
Baguette céréales et graines;273.9;9.8;47.4;3.9;100 g
Baguette perene multicéréales (simpy marquet);300;9.6;57;3.9;100 g
Baguette tranchée grillée roger;408;13;72;6;100 g
Baguette viennoise la boulangère (pour 85 g);280;8.92;47.43;6.12;1 unité
Baguettine 5 céréales de jacquet;395;15;64;9;100 g
Baguettines bridor;420;15;84;1.5;1 unité
Baies de goji séchées;202.8;11.8;21;6.8;100 g
Baileys;327;3;25;13;100 ml
Baiocchi mulino bianco - barilla;497;7.5;62.8;24;100 g
Balade choco;233;5.3;29.5;10;100 g
Balade solight doux;214;0.3;8;20;100 g
Balanes (glands), crues;387;6.15;40.75;23.86;100 g
Balisto au muesli;213;2.7;24.2;11.5;1 unité
Balisto chocolat;510;6.7;58.4;27.7;100 g
Balisto chocolat miel amandes;513;7.3;54.5;29.5;100 g
